pathway,Taxonomy,gene
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_U2CFH9
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_Q5LAX0
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A174V5E8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A174VMU6
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A174AKU3
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A174V2R7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A174V325
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A174LHK8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_Q8A9S7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_U2CFH9
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_Q5LAX0
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A174V5E8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A174VMU6
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A174AKU3
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A174V2R7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A174V325
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_A0A174LHK8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_Q8A9S7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_U2CFH9
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii,UniRef90_Q5LAX0
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A174V5E8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A174VMU6
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A174AKU3
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A174V2R7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A174V325
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A174LHK8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_Q8A9S7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_U2CFH9
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_Q5LAX0
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_A0A174V5E8
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_A0A174VMU6
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_A0A174AKU3
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_A0A174V2R7
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_A0A174V325
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_A0A174LHK8
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_Q8A9S7
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_U2CFH9
1CMET2-PWY,g__Blautia.s__Ruminococcus_torques,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_A0A174V5E8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_A0A174VMU6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_A0A174AKU3
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_A0A174V2R7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_A0A174V325
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_A0A174LHK8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_U2CFH9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_xylanisolvens,UniRef90_Q5LAX0
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_A0A174V5E8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_A0A174VMU6
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_A0A174AKU3
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_A0A174V2R7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_A0A174V325
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_A0A174LHK8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_Q8A9S7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_U2CFH9
1CMET2-PWY,g__Coprococcus.s__Coprococcus_catus,UniRef90_Q5LAX0
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A174V5E8
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A174VMU6
