original_name,cleaned_name
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,PWY-6519
PWY-7392: taxadiene biosynthesis (engineered),PWY-7392
PWY-7196: superpathway of pyrimidine ribonucleosides salvage,PWY-7196
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),PHOSLIPSYN-PWY
PWY-6353: purine nucleotides degradation II (aerobic),PWY-6353
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline),PWY-5154
PWY-4984: urea cycle,PWY-4984
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,PWY-7197
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,TEICHOICACID-PWY
PWY-6608: guanosine nucleotides degradation III,PWY-6608
PWY-5505: L-glutamate and L-glutamine biosynthesis,PWY-5505
COLANSYN-PWY: colanic acid building blocks biosynthesis,COLANSYN-PWY
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis,ARGININE-SYN4-PWY
PWY-5265: peptidoglycan biosynthesis II (staphylococci),PWY-5265
PWY-6731: starch degradation III,PWY-6731
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,HOMOSER-METSYN-PWY
PWY-2723: trehalose degradation V,PWY-2723
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,GLUCOSE1PMETAB-PWY
HISDEG-PWY: L-histidine degradation I,HISDEG-PWY
PWY-5659: GDP-mannose biosynthesis,PWY-5659
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),PWY-7282
PWY-6549: L-glutamine biosynthesis III,PWY-6549
P441-PWY: superpathway of N-acetylneuraminate degradation,P441-PWY
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,PWY-7328
PWY-5030: L-histidine degradation III,PWY-5030
PWY-6895: superpathway of thiamin diphosphate biosynthesis II,PWY-6895
PWY66-399: gluconeogenesis III,PWY66-399
TCA: TCA cycle I (prokaryotic),TCA
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,PWY-7323
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),PWY4FS-7
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),PWY4FS-8
PWY-7456: mannan degradation,PWY-7456
PWY-6628: superpathway of L-phenylalanine biosynthesis,PWY-6628
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,SALVADEHYPOX-PWY
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),POLYISOPRENSYN-PWY
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation,GLUCUROCAT-PWY
P164-PWY: purine nucleobases degradation I (anaerobic),P164-PWY
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,GALACT-GLUCUROCAT-PWY
GALACTUROCAT-PWY: D-galacturonate degradation I,GALACTUROCAT-PWY
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,PWY-1269
RHAMCAT-PWY: L-rhamnose degradation I,RHAMCAT-PWY
PWY-6606: guanosine nucleotides degradation II,PWY-6606
PWY66-409: superpathway of purine nucleotide salvage,PWY66-409
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",PWY-7383
