pathway,Taxonomy,gene
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_B3JMT5
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_A0A076J5W7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_A0A173WIK6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_A6L1Q8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_R6JJ34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_Q8A639
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_C4Z4B0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_A0A139JXD7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_A0A076INA9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_stercoris,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_D1JYI7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_B3JMT5
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_A0A076J5W7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_A0A173WIK6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_A6L1Q8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_R6JJ34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_Q8A639
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_C4Z4B0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_A0A139JXD7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_A0A076INA9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola_CAG_162,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_D1JYI7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_B3JMT5
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_A0A076J5W7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_A0A173WIK6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_A6L1Q8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_R6JJ34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_Q8A639
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_C4Z4B0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_A0A139JXD7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_A0A076INA9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_coprocola,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_D1JYI7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_B3JMT5
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_A0A076J5W7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_A0A173WIK6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_A6L1Q8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_R6JJ34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_Q8A639
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_C4Z4B0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_A0A139JXD7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_A0A076INA9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_caccae,UniRef90_Q5LAX0
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_D1JYI7
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_B3JMT5
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_A0A076J5W7
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_A0A173WIK6
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_A6L1Q8
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_R6JJ34
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_Q8A639
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_C4Z4B0
1CMET2-PWY,g__Klebsiella.s__Klebsiella_quasipneumoniae,UniRef90_A0A0P0LI34
