original_name,cleaned_name
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis,PWY-5861
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,TCA-GLYOX-BYPASS
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis,PWY-5862
PWY-5918: superpathay of heme biosynthesis from glutamate,PWY-5918
GALACTARDEG-PWY: D-galactarate degradation I,GALACTARDEG-PWY
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation,GLUCARGALACTSUPER-PWY
PWY-5384: sucrose degradation IV (sucrose phosphorylase),PWY-5384
P161-PWY: acetylene degradation,P161-PWY
PWY-5677: succinate fermentation to butanoate,PWY-5677
PPGPPMET-PWY: ppGpp biosynthesis,PPGPPMET-PWY
PWY-6629: superpathway of L-tryptophan biosynthesis,PWY-6629
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),PWY0-881
ORNDEG-PWY: superpathway of ornithine degradation,ORNDEG-PWY
PWY-6143: CMP-pseudaminate biosynthesis,PWY-6143
PWY-5913: TCA cycle VI (obligate autotrophs),PWY-5913
PWY-5723: Rubisco shunt,PWY-5723
PWY-3801: sucrose degradation II (sucrose synthase),PWY-3801
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),P162-PWY
PWY-5850: superpathway of menaquinol-6 biosynthesis I,PWY-5850
PWY-5896: superpathway of menaquinol-10 biosynthesis,PWY-5896
PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP,PWY-7210
PWY-7254: TCA cycle VII (acetate-producers),PWY-7254
GLYCOCAT-PWY: glycogen degradation I (bacterial),GLYCOCAT-PWY
PWY-7345: superpathway of anaerobic sucrose degradation,PWY-7345
PWY-6628: superpathway of L-phenylalanine biosynthesis,PWY-6628
PWY-6876: isopropanol biosynthesis,PWY-6876
PWY-5367: petroselinate biosynthesis,PWY-5367
GLYOXYLATE-BYPASS: glyoxylate cycle,GLYOXYLATE-BYPASS
PWY-5173: superpathway of acetyl-CoA biosynthesis,PWY-5173
GLUCARDEG-PWY: D-glucarate degradation I,GLUCARDEG-PWY
LACTOSECAT-PWY: lactose and galactose degradation I,LACTOSECAT-PWY
PWY-7316: dTDP-N-acetylviosamine biosynthesis,PWY-7316
PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III,PWY0-1415
P124-PWY: Bifidobacterium shunt,P124-PWY
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,PWY-6478
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,PWY-5860
PWY-5920: superpathway of heme biosynthesis from glycine,PWY-5920
PWY-5863: superpathway of phylloquinol biosynthesis,PWY-5863
PWY-6731: starch degradation III,PWY-6731
PWY-6823: molybdenum cofactor biosynthesis,PWY-6823
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,PWY-7328
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation,GLUCOSE1PMETAB-PWY
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",PWY-5791
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",PWY-5837
