pathway,Taxonomy,gene
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A076INA9
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q8A639
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q5LAX0
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_Q8A9S7
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A076J5W7
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A0A173WIK6
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A6L1Q8
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A076INA9
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q8A639
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q5LAX0
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_Q8A9S7
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A076J5W7
1CMET2-PWY,g__Dorea.s__Dorea_longicatena,UniRef90_A0A173WIK6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_A6L1Q8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_A0A076INA9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_Q8A639
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_clarus,UniRef90_A0A076J5W7
